,latitude,longitude,restaurant_name
181,52.87766,-1.493987,Subway
182,52.82179,1.38841,Subway
183,52.817158,-2.122707,Subway
184,52.800385,-1.633708,Subway
185,52.788727,-2.042951,Wimpy
186,52.768955,-0.376433,Subway
187,52.75385,0.39567,Wimpy Restaurant
188,52.74483,-0.13558,Subway
189,52.737137,0.414477,Subway
190,52.72317,-1.374458,Subway
191,52.70979,-2.000502,Subway
192,52.70074,-2.518472,Subway
193,52.695114,-2.45196,Subway
194,52.68168,0.940214,Subway
195,52.676743,-2.481831,Subway
196,52.6722,-1.54057,McDonald's
197,52.668274,1.271853,McDonald's Norwich Airport
198,52.654213,1.268056,Subway
199,52.647614,0.687501,Subway
200,52.64336,-2.055328,Burger King
201,52.631023,-1.145422,Subway
202,52.629444,1.295878,Subway
203,52.628216,1.304151,Subway
204,52.625893,-1.12769,Subway
205,52.6247,1.27782,Subway
206,52.60443,1.736344,Subway
207,52.59521,-2.09153,McDonald's Wednesfield
208,52.57771,-2.13567,McDonald's
209,52.570232,0.857346,Subway
210,52.55456,-1.828292,Subway
211,52.54893,-1.860493,Subway
212,52.543945,-0.331637,Subway
213,52.534966,-1.413262,McDonald's Hinckley - Dodwells Road
214,52.53398,-1.82554,Subway
215,52.52661,-1.438402,Subway
216,52.51587,1.013669,Subway
217,52.48679,-0.701523,Burger King
218,52.47992,-2.109651,Subway
219,52.477512,-1.902835,Subway
220,52.462006,-2.117068,Subway
221,52.460415,-1.802019,Subway
222,52.453175,-1.78689,KFC
223,52.45305,-1.72006,Subway
224,52.45249,0.046954,Subway
225,52.44418,-1.492706,Subway
226,52.439907,-2.836183,Subway
227,52.409073,-0.739531,Subway
228,52.38788,-1.55457,Subway
229,52.385223,-1.259182,Subway
230,52.38217,-1.22593,KFC
231,52.375957,-2.259885,Subway
232,52.343784,-1.579494,Subway
233,52.337788,0.535793,Burger King
234,52.332314,-0.252544,Subway
235,52.33151,-0.251945,McDonald's
236,52.314137,-0.714295,Subway
237,52.30614,-1.943446,Subway
238,52.259174,0.695327,Subway
239,52.238754,-0.897477,Subway
240,52.230156,-2.190334,Subway
241,52.20627,1.579743,Subway
242,52.193237,-2.22166,Subway
243,52.193073,-2.214601,Subway
244,52.18758,-2.235425,Subway
245,52.187576,0.995292,Subway
246,52.18391,-0.93453,Subway
247,52.15318,-0.701268,Subway
248,52.13641,-0.470931,Subway
249,52.08645,-0.263812,Subway
250,52.06639,-2.157514,Subway
251,52.061638,-1.336267,Subway
252,52.050213,1.166132,Subway
253,52.042088,-0.748733,Subway
254,52.02896,-0.214899,Subway
255,52.0227,0.240222,Subway
256,51.947266,-2.061642,Subway
257,51.94317,0.636438,Subway
258,51.9159,-0.663537,Subway
259,51.901524,-2.075549,Burger King
260,51.89665,-1.151562,Wimpy
261,51.893326,-2.089829,Subway
262,51.87316,-0.39959,Mcdonald's
263,51.86527,-2.242276,Subway
264,51.86204,-2.251815,Subway
265,51.852936,0.731785,Burger King
266,51.819374,-0.809369,Subway
267,51.788975,1.153383,Wimpy
268,51.738213,-1.097286,Burger King
269,51.729256,0.471,Subway
270,51.715954,0.474545,Subway
271,51.701103,-0.034113,Wimpy
272,51.65744,-0.27289,KFC
273,51.65548,-0.276105,Wimpy
274,51.652115,-0.084803,Subway
275,51.646687,0.05411,Wimpy
276,51.643456,0.617436,McDonald's
277,51.6364,-0.4837,Subway
278,51.63637,-0.483804,Wimpy
279,51.63271,-0.128129,Subway
280,51.63007,-0.752364,Wimpy
281,51.62727,0.418842,Subway
282,51.62166,-0.25631,KFC
283,51.620514,0.301626,Burger King
284,51.616707,-0.313278,Subway
285,51.613453,0.521197,Subway
286,51.611614,-0.142649,Subway
287,51.59602,-0.108841,Subway
288,51.594124,-0.382258,Subway
289,51.585278,0.605487,Wimpy
290,51.576187,0.182214,Subway
291,51.572433,-0.422829,Wimpy Restaurant
292,51.567574,0.551565,Wimpy Restaurant
293,51.562687,-1.797727,Subway
294,51.562656,0.219539,Wimpy
295,51.561943,-0.282022,Wimpy
296,51.56114,-1.786716,Subway
297,51.56034,-1.78757,McDonald's
298,51.557938,0.250171,Wimpy Upminster
299,51.547737,-0.480534,Subway
300,51.546333,-0.075393,Kfc
301,51.545593,-0.076184,Subway
302,51.541668,0.657104,Subway
303,51.541653,0.65889,Wimpy
304,51.540462,0.713313,Wimpy
305,51.54001,-2.41391,Subway
306,51.53983,-0.19161,KFC
307,51.535522,-2.549172,Subway
308,51.532993,-0.125538,LEON - Pancras Square
309,51.524868,-0.080849,Subway
310,51.52252,-0.261206,Subway
311,51.522087,-0.087452,Subway
312,51.521015,-0.1232,Subway
313,51.519794,-0.134279,Subway
314,51.51892,-0.17926,Subway
315,51.518288,-0.132044,LEON - Tottenham Court Road
316,51.51772,-0.1114,McDonald's
317,51.51712,-0.17421,McDonald's
318,51.5166,-0.1389,LEON â€“ Eastcastle
319,51.516033,-0.142172,LEON - Regent Street
320,51.515965,-0.164525,Subway Noodles
321,51.51444,-0.104719,Subway
322,51.51416,-0.104259,LEON - Ludgate Circus
323,51.51397,-0.13949,LEON - Carnaby Street
324,51.51349,-0.057046,Wimpy
325,51.51274,-0.08312,LEON â€“ Leadenhall
326,51.511574,-0.132539,LEON â€“ Shaftsbury Avenue
327,51.51106,-0.36654,McDonald's Hanwell
328,51.50996,-0.12239,LEON - The Strand
329,51.50792,-2.5646,Subway
330,51.50757,-0.221268,LEON â€“ Shepherdâ€™s Bush
331,51.507507,-0.271781,Subway
332,51.50528,-0.089722,LEON - Southwark Street
333,51.50226,-0.092453,Subway
334,51.50082,-0.097176,Beer + Burger KingsX
335,51.497375,-0.136553,LEON - Victoria Street
336,51.49434,-0.17462,LEON - South Kensington
337,51.492386,-0.062497,Wimpy
338,51.492058,-0.223878,LEON - Hammersmith
339,51.491,-0.28127,Burger King
340,51.48963,-0.22405,McDonald's
341,51.48665,0.28538,KFC
342,51.48369,-1.557374,Subway
343,51.480778,-0.610767,Subway
344,51.47778,0.32501,Wimpy
345,51.47109,-2.592972,Subway
346,51.463444,0.102409,Subway
347,51.45988,-0.01136,Wimpy
348,51.452286,-2.596734,Subway
349,51.451645,-2.58778,Subway
350,51.45087,0.053923,Wimpy
351,51.450302,0.289282,Subway
352,51.448975,-0.937866,Subway
353,51.44777,-2.14931,McDonald's
354,51.44581,-0.019872,KFC
355,51.443653,-0.153443,Subway
356,51.43839,-2.746889,Subway
357,51.43358,-0.464829,Wimpy
358,51.432835,-0.129016,Wimpy
359,51.43207,-0.545917,Subway
360,51.42979,-2.544169,Subway
361,51.4238,-1.036883,Burger King
362,51.42135,-0.20727,Leon
363,51.419155,-0.421234,Subway
364,51.416553,-0.179687,Burger King
365,51.416264,-0.74831,Subway
366,51.41571,-2.600358,Subway
367,51.409653,0.144284,Subway
368,51.40297,0.016234,McDonald's
369,51.40271,-0.193925,Wimpy
370,51.394894,0.496826,Wimpy Strood
371,51.383327,-0.190104,KFC
372,51.381634,0.527389,Wimpy
373,51.380768,-0.072426,KFC
374,51.376564,-0.101462,Mcdonald's
375,51.374947,-0.093084,Burger King
376,51.37489,-0.12769,McDonald's Asda Wallington
377,51.37197,-0.48661,Wimpy
378,51.37023,-0.364005,Subway
379,51.365597,-0.194495,Subway
380,51.360836,1.431681,Subway
381,51.36034,-1.14919,Subway
382,51.341038,0.608111,Burger King
383,51.33978,-0.1144,KFC
384,51.3338,-0.265105,Subway
385,51.30296,-0.329969,Subway
386,51.284668,-1.059409,Subway
387,51.270836,0.192545,Subway
388,51.269672,0.51894,Burger King
389,51.26389,-1.087222,Wimpy
390,51.24935,-0.765968,Subway
391,51.24492,-1.113842,Subway
392,51.244244,-2.291508,Subway
393,51.215626,-0.797942,Subway
394,51.208702,-1.47894,Wimpy
395,51.208614,-1.48016,Subway
396,51.163128,0.870039,Subway
397,51.148083,0.871221,Subway
398,51.137608,-0.16538,Subway
399,51.135048,0.87601,Subway Ashford Designer Outlet
400,51.12509,1.332638,Burger King
401,51.116177,-0.18757,Wimpy Crawley
402,51.080135,-4.060047,Wimpy
403,51.069683,-1.793542,McDonald's Salisbury
404,51.0633,-0.331488,Wimpy
405,51.06296,-4.08372,Subway
406,51.062866,-0.328831,Subway
407,51.02223,-3.08319,McDonald's TAUNTON - ASDA
408,51.01862,-4.20598,Subway
409,51.01745,-3.103601,Subway
410,50.96758,-1.352278,Subway
411,50.955845,-0.131157,Subway
412,50.942043,-2.636705,Subway
413,50.907402,-1.404912,Subway
414,50.90443,-1.41659,Subway
415,50.90342,-3.4861,Subway
416,50.85196,-1.177959,Subway
417,50.841568,-1.081938,Subway
418,50.839546,0.473483,Subway
419,50.831154,-0.136722,Subway
420,50.83039,-0.138069,Subway
421,50.827927,-0.172219,Subway
422,50.823612,-0.143913,LEON
423,50.815212,-0.106536,Subway
424,50.8125,-0.370835,Wimpy Worthing
425,50.809242,-0.543525,Wimpy
426,50.799866,-1.104223,Subway
427,50.795185,-1.119083,Subway
428,50.794743,-1.066822,Subway
429,50.78688,0.266733,Subway
430,50.740707,-3.469682,Subway
431,50.72439,-3.531473,Subway
432,50.71686,-3.540073,Subway
433,50.466576,-3.528974,Subway
434,50.453613,-4.465339,Subway
435,50.426147,-4.815462,McDonald's
436,50.387836,-4.052771,Subway
437,50.372276,-4.13788,Burger King
438,50.263683,-5.119631,Subway
439,50.239723,-5.232029,Subway
