,latitude,longitude,restaurant_name
14517,52.57771,-2.13567,McDonald's
14595,52.570232,0.857346,Subway
14687,52.55456,-1.828292,Subway
14716,52.54893,-1.860493,Subway
14734,52.543945,-0.331637,Subway
14825,52.534966,-1.413262,McDonald's Hinckley - Dodwells Road
14837,52.53398,-1.82554,Subway
14872,52.52661,-1.438402,Subway
14963,52.51587,1.013669,Subway
15152,52.48679,-0.701523,Burger King
15250,52.47992,-2.109651,Subway
15343,52.477512,-1.902835,Subway
15525,52.462006,-2.117068,Subway
15540,52.460415,-1.802019,Subway
15638,52.453175,-1.78689,KFC
15640,52.45305,-1.72006,Subway
15649,52.45249,0.046954,Subway
15734,52.44418,-1.492706,Subway
15759,52.439907,-2.836183,Subway
15989,52.409073,-0.739531,Subway
16188,52.38788,-1.55457,Subway
16210,52.385223,-1.259182,Subway
16232,52.38217,-1.22593,KFC
16257,52.375957,-2.259885,Subway
16407,52.343784,-1.579494,Subway
16442,52.337788,0.535793,Burger King
16467,52.332314,-0.252544,Subway
16473,52.33151,-0.251945,McDonald's
16546,52.314137,-0.714295,Subway
16572,52.30614,-1.943446,Subway
16841,52.259174,0.695327,Subway
17008,52.238754,-0.897477,Subway
17071,52.230156,-2.190334,Subway
17239,52.20627,1.579743,Subway
17404,52.193237,-2.22166,Subway
17412,52.193073,-2.214601,Subway
17500,52.18758,-2.235425,Subway
17501,52.187576,0.995292,Subway
17518,52.18391,-0.93453,Subway
17578,52.15318,-0.701268,Subway
17662,52.13641,-0.470931,Subway
17864,52.08645,-0.263812,Subway
17950,52.06639,-2.157514,Subway
18001,52.061638,-1.336267,Subway
18157,52.050213,1.166132,Subway
18204,52.042088,-0.748733,Subway
18311,52.02896,-0.214899,Subway
18347,52.0227,0.240222,Subway
18636,51.947266,-2.061642,Subway
18667,51.94317,0.636438,Subway
18763,51.9159,-0.663537,Subway
18865,51.901524,-2.075549,Burger King
18940,51.89665,-1.151562,Wimpy
18960,51.893326,-2.089829,Subway
19215,51.87316,-0.39959,Mcdonald's
19315,51.86527,-2.242276,Subway
19348,51.86204,-2.251815,Subway
19385,51.852936,0.731785,Burger King
19493,51.819374,-0.809369,Subway
19705,51.788975,1.153383,Wimpy
20204,51.738213,-1.097286,Burger King
20302,51.729256,0.471,Subway
20396,51.715954,0.474545,Subway
20482,51.701103,-0.034113,Wimpy
20713,51.65744,-0.27289,KFC
20749,51.65548,-0.276105,Wimpy
20796,51.652115,-0.084803,Subway
20859,51.646687,0.05411,Wimpy
20893,51.643456,0.617436,McDonald's
20926,51.6364,-0.4837,Subway
20927,51.63637,-0.483804,Wimpy
20965,51.63271,-0.128129,Subway
21018,51.63007,-0.752364,Wimpy
21047,51.62727,0.418842,Subway
21091,51.62166,-0.25631,KFC
21100,51.620514,0.301626,Burger King
21151,51.616707,-0.313278,Subway
21187,51.613453,0.521197,Subway
21216,51.611614,-0.142649,Subway
21436,51.59602,-0.108841,Subway
21460,51.594124,-0.382258,Subway
21653,51.585278,0.605487,Wimpy
21889,51.576187,0.182214,Subway
21961,51.572433,-0.422829,Wimpy Restaurant
22089,51.567574,0.551565,Wimpy Restaurant
22203,51.562687,-1.797727,Subway
22206,51.562656,0.219539,Wimpy
22230,51.561943,-0.282022,Wimpy
22265,51.56114,-1.786716,Subway
22295,51.56034,-1.78757,McDonald's
22372,51.557938,0.250171,Wimpy Upminster
22690,51.547737,-0.480534,Subway
22767,51.546333,-0.075393,Kfc
22814,51.545593,-0.076184,Subway
22985,51.541668,0.657104,Subway
22988,51.541653,0.65889,Wimpy
23052,51.540462,0.713313,Wimpy
23085,51.54001,-2.41391,Subway
23098,51.53983,-0.19161,KFC
23302,51.535522,-2.549172,Subway
23423,51.532993,-0.125538,LEON - Pancras Square
23831,51.524868,-0.080849,Subway
24012,51.52252,-0.261206,Subway
24054,51.522087,-0.087452,Subway
24134,51.521015,-0.1232,Subway
24248,51.519794,-0.134279,Subway
24320,51.51892,-0.17926,Subway
24374,51.518288,-0.132044,LEON - Tottenham Court Road
24431,51.51772,-0.1114,McDonald's
24508,51.51712,-0.17421,McDonald's
24564,51.5166,-0.1389,LEON â€“ Eastcastle
24633,51.516033,-0.142172,LEON - Regent Street
24645,51.515965,-0.164525,Subway Noodles
24848,51.51444,-0.104719,Subway
24892,51.51416,-0.104259,LEON - Ludgate Circus
24919,51.51397,-0.13949,LEON - Carnaby Street
24999,51.51349,-0.057046,Wimpy
25122,51.51274,-0.08312,LEON â€“ Leadenhall
25272,51.511574,-0.132539,LEON â€“ Shaftsbury Avenue
25322,51.51106,-0.36654,McDonald's Hanwell
